102.dat,VCG Morphology calculation failed
103.dat,VCG Morphology calculation failed
104.dat,VCG Morphology calculation failed
107.dat,VCG Morphology calculation failed
109.dat,VCG Morphology calculation failed
110.dat,VCG Morphology calculation failed
113.dat,VCG Morphology calculation failed
116.dat,VCG Morphology calculation failed
121.dat,VCG Morphology calculation failed
123.dat,VCG Morphology calculation failed
125.dat,VCG Morphology calculation failed
128.dat,VCG Morphology calculation failed
131.dat,VCG Morphology calculation failed
144.dat,VCG Morphology calculation failed
147.dat,VCG Morphology calculation failed
150.dat,VCG Morphology calculation failed
151.dat,VCG Morphology calculation failed
156.dat,VCG Morphology calculation failed
16.dat,VCG Morphology calculation failed
165.dat,VCG Morphology calculation failed
180.dat,VCG Morphology calculation failed
181.dat,VCG Morphology calculation failed
187.dat,VCG Morphology calculation failed
191.dat,VCG Morphology calculation failed
199.dat,VCG Morphology calculation failed
20.dat,VCG Morphology calculation failed
21.dat,VCG Morphology calculation failed
24.dat,VCG Morphology calculation failed
28.dat,VCG Morphology calculation failed
3.dat,VCG Morphology calculation failed
31.dat,VCG Morphology calculation failed
33.dat,VCG Morphology calculation failed
34.dat,VCG Morphology calculation failed
35.dat,VCG Morphology calculation failed
37.dat,VCG Morphology calculation failed
39.dat,VCG Morphology calculation failed
42.dat,VCG Morphology calculation failed
44.dat,VCG Morphology calculation failed
45.dat,VCG Morphology calculation failed
47.dat,VCG Morphology calculation failed
55.dat,VCG Morphology calculation failed
57.dat,VCG Morphology calculation failed
63.dat,VCG Morphology calculation failed
64.dat,VCG Morphology calculation failed
68.dat,VCG Morphology calculation failed
69.dat,VCG Morphology calculation failed
7.dat,VCG Morphology calculation failed
70.dat,VCG Morphology calculation failed
72.dat,VCG Morphology calculation failed
74.dat,VCG Morphology calculation failed
75.dat,VCG Morphology calculation failed
8.dat,VCG Morphology calculation failed
80.dat,VCG Morphology calculation failed
83.dat,VCG Morphology calculation failed
86.dat,VCG Morphology calculation failed
90.dat,VCG Morphology calculation failed
93.dat,VCG Morphology calculation failed
98.dat,VCG Morphology calculation failed
